"Date","Price","Open","High","Low","Change %"
"Apr 01, 2022","127.792","127.792","127.792","127.792","1.07%"
"Mar 31, 2022","126.439","126.439","126.439","126.439","-1.65%"
"Mar 30, 2022","128.559","128.559","128.559","128.559","-1.95%"
"Mar 29, 2022","131.110","131.110","131.110","131.110","1.58%"
"Mar 28, 2022","129.075","129.075","129.075","129.075","1.54%"
"Mar 25, 2022","127.117","127.117","127.117","127.117","-0.33%"
"Mar 24, 2022","127.538","127.538","127.538","127.538","1.22%"
"Mar 23, 2022","126.001","126.001","126.001","126.001","-1.95%"
"Mar 22, 2022","128.502","128.502","128.502","128.502","2.16%"
"Mar 21, 2022","125.781","125.781","125.781","125.781","-1.37%"
"Mar 18, 2022","127.523","127.523","127.523","127.523","2.74%"
"Mar 17, 2022","124.117","124.117","124.117","124.117","-0.18%"
"Mar 16, 2022","124.335","124.335","124.335","124.335","5.98%"
"Mar 15, 2022","117.323","117.323","117.323","117.323","1.61%"
"Mar 14, 2022","115.464","115.464","115.464","115.464","-1.81%"
"Mar 11, 2022","117.598","117.598","117.598","117.598","-0.55%"
"Mar 10, 2022","118.254","118.254","118.254","118.254","-2.17%"
"Mar 09, 2022","120.882","120.882","120.882","120.882","3.88%"
"Mar 08, 2022","116.371","116.371","116.371","116.371","-0.24%"
"Mar 07, 2022","116.653","116.653","116.653","116.653","-3.86%"
"Mar 04, 2022","121.339","121.339","121.339","121.339","-1.42%"
"Mar 03, 2022","123.085","123.085","123.085","123.085","-1.68%"
"Mar 02, 2022","125.187","125.187","125.187","125.187","1.56%"
"Mar 01, 2022","123.268","123.268","123.268","123.268","-1.95%"
"Feb 28, 2022","125.721","125.721","125.721","125.721","-1.01%"
"Feb 25, 2022","127.004","127.004","127.004","127.004","1.26%"
"Feb 24, 2022","125.422","125.422","125.422","125.422","2.70%"
"Feb 23, 2022","122.119","122.119","122.119","122.119","-1.72%"
"Feb 22, 2022","124.251","124.251","124.251","124.251","-0.88%"
"Feb 21, 2022","125.354","125.354","125.354","125.354","-0.30%"
"Feb 18, 2022","125.732","125.732","125.732","125.732","-1.28%"
"Feb 17, 2022","127.366","127.366","127.366","127.366","-2.34%"
"Feb 16, 2022","130.422","130.422","130.422","130.422","-0.02%"
"Feb 15, 2022","130.452","130.452","130.452","130.452","1.80%"
"Feb 14, 2022","128.147","128.147","128.147","128.147","0.40%"
